timestamp,hourly_traffic_count
datetime,float
T,
2011-02-20 04:00:00,946
2011-02-20 05:00:00,903
2011-02-20 06:00:00,705
2011-02-20 07:00:00,847
2011-02-20 08:00:00,1314
2011-02-20 09:00:00,1492
2011-02-20 10:00:00,2052
2011-02-20 11:00:00,2881
2011-02-20 12:00:00,3541
2011-02-20 13:00:00,3788
2011-02-20 14:00:00,4289
2011-02-20 15:00:00,4576
2011-02-20 16:00:00,4471
2011-02-20 17:00:00,4540
2011-02-20 18:00:00,4224
2011-02-20 19:00:00,3628
2011-02-20 20:00:00,3464
2011-02-20 21:00:00,2877
2011-02-20 22:00:00,2812
2011-02-20 23:00:00,2157
2011-02-21 00:00:00,1909
2011-02-21 01:00:00,1371
2011-02-21 02:00:00,741
2011-02-21 03:00:00,559
2011-02-21 04:00:00,482
2011-02-21 05:00:00,529
2011-02-21 06:00:00,793
2011-02-21 07:00:00,1307
2011-02-21 08:00:00,1829
2011-02-21 09:00:00,2027
2011-02-21 10:00:00,1996
2011-02-21 11:00:00,2317
2011-02-21 12:00:00,2653
2011-02-21 13:00:00,3112
2011-02-21 14:00:00,3196
2011-02-21 15:00:00,3645
2011-02-21 16:00:00,3958
2011-02-21 17:00:00,3814
2011-02-21 18:00:00,3578
2011-02-21 19:00:00,3264
2011-02-21 20:00:00,2894
2011-02-21 21:00:00,2464
2011-02-21 22:00:00,2013
2011-02-21 23:00:00,1901
2011-02-22 00:00:00,1406
2011-02-22 01:00:00,1015
2011-02-22 02:00:00,486
2011-02-22 03:00:00,358
2011-02-22 04:00:00,341
2011-02-22 05:00:00,462
2011-02-22 06:00:00,1072
2011-02-22 07:00:00,2380
2011-02-22 08:00:00,3142
2011-02-22 09:00:00,3522
2011-02-22 10:00:00,2866
2011-02-22 11:00:00,2846
2011-02-22 12:00:00,2803
2011-02-22 13:00:00,3095
2011-02-22 14:00:00,3366
2011-02-22 15:00:00,3011
2011-02-22 16:00:00,4223
2011-02-22 17:00:00,4756
2011-02-22 18:00:00,4825
